application_id,event_time,customer_id,region_code,product_type,requested_amount,term_months,credit_score,risk_level,decision_status,approved_amount,channel,employee_review_flag,processing_time_sec
app_20250104_00000000,2025-01-04 21:48:45,cust_2533366,ITMI,cash_loan,45529,30,717,low,approved,45529,partner,true,587
app_20250104_00000001,2025-01-04 17:09:31,cust_6382343,ITMI,personal_loan,40193,42,771,low,approved,40193,partner,false,664
app_20250104_00000002,2025-01-04 16:40:20,cust_7688149,ESMA,business_loan,17507,48,577,medium,rejected,0,online_banking,false,27
app_20250104_00000003,2025-01-04 16:41:53,cust_1941053,AUTR,credit_card,7886,18,609,medium,approved,7886,mobile_app,true,723
app_20250104_00000004,2025-01-04 11:31:06,cust_5030018,GRRE,refinance,387824,240,455,high,rejected,0,call_center,true,93
app_20250104_00000005,2025-01-04 22:27:57,cust_7972345,AUTR,credit_card,37287,42,716,low,approved,37287,mobile,true,219
app_20250104_00000006,2025-01-04 10:28:45,cust_5935865,ITMI,credit_card,29825,18,402,high,approved,29825,call_center,false,395
app_20250104_00000007,2025-01-04 07:51:15,cust_8227288,CZPR,personal_loan,11862,36,518,medium,rejected,0,online_banking,false,73
app_20250104_00000008,2025-01-04 12:49:44,cust_9352738,GRRE,mortgage,478273,180,792,low,approved,478273,branch,false,893
app_20250104_00000009,2025-01-04 17:29:30,cust_6765620,CZPR,cash_loan,23105,24,740,low,approved,23105,mobile,false,829
app_20250104_00000010,2025-01-04 00:59:35,cust_2217857,NLAM,credit_card,49986,24,798,low,approved,49986,mobile,false,310
app_20250104_00000011,2025-01-04 01:25:48,cust_275122,GRRE,credit_card,4661,48,564,medium,rejected,0,atm,true,21
app_20250104_00000012,2025-01-04 20:07:17,cust_8014504,BENL,business_loan,34383,48,705,low,approved,34383,web,false,226
app_20250104_00000013,2025-01-04 00:16:58,cust_972891,AUTR,business_loan,28862,48,773,low,approved,28862,web,true,752
app_20250104_00000014,2025-01-04 20:41:21,cust_6719143,ATVI,mortgage,148694,120,842,low,approved,148694,call_center,false,757
app_20250104_00000015,2025-01-04 22:26:06,cust_6720617,GRRE,credit_card,27787,12,781,low,rejected,0,call_center,false,11
app_20250104_00000016,2025-01-04 22:40:09,cust_8980856,SESV,auto_loan,13926,60,630,medium,approved,13926,mobile_app,true,200
app_20250104_00000017,2025-01-04 05:22:42,cust_8603646,GRRE,education_loan,7081,24,730,low,rejected,0,atm,true,139
app_20250104_00000018,2025-01-04 01:19:24,cust_1585635,PORP,credit_card,43812,36,544,medium,rejected,0,mobile,true,36
app_20250104_00000019,2025-01-04 09:08:07,cust_5576862,CHBE,credit_card,9541,18,672,medium,rejected,0,mobile_app,true,179
app_20250104_00000020,2025-01-04 01:55:46,cust_2314627,SESV,auto_loan,46626,72,484,high,rejected,0,partner,true,94
app_20250104_00000021,2025-01-04 10:15:56,cust_6868280,AUTR,education_loan,15115,24,546,medium,rejected,0,branch,true,88
app_20250104_00000022,2025-01-04 10:24:05,cust_7268468,DEHE,cash_loan,1803,48,621,medium,approved,1803,partner,false,600
app_20250104_00000023,2025-01-04 00:15:50,cust_1062991,BENL,cash_loan,4819,36,665,medium,rejected,0,online_banking,true,29
app_20250104_00000024,2025-01-04 13:48:09,cust_8261662,UKLO,personal_loan,37851,36,744,low,approved,37851,call_center,false,603
app_20250104_00000025,2025-01-04 01:55:15,cust_8759139,ITMI,refinance,370885,240,719,low,approved,370885,atm,true,492
app_20250104_00000026,2025-01-04 01:01:04,cust_7676604,PORP,business_loan,39336,24,574,medium,rejected,0,branch,true,179
app_20250104_00000027,2025-01-04 01:29:27,cust_8012738,PLWA,auto_loan,47673,48,776,low,approved,47673,mobile_app,false,695
app_20250104_00000028,2025-01-04 22:35:14,cust_7994790,CZPR,business_loan,15667,12,528,medium,approved,15667,branch,false,533
app_20250104_00000029,2025-01-04 23:05:08,cust_3145807,SESV,personal_loan,19643,30,571,medium,approved,19643,call_center,true,480
app_20250104_00000030,2025-01-04 10:14:26,cust_888430,ESMA,business_loan,21283,36,678,medium,rejected,0,web,false,149
app_20250104_00000031,2025-01-04 16:20:18,cust_6453134,UKLO,mortgage,105615,180,689,medium,rejected,0,web,true,180
app_20250104_00000032,2025-01-04 04:55:27,cust_8045381,ITMI,auto_loan,13739,24,640,medium,approved,13739,web,false,535
app_20250104_00000033,2025-01-04 15:40:42,cust_7273213,SESV,personal_loan,28636,30,642,medium,rejected,0,mobile,false,68
app_20250104_00000034,2025-01-04 08:31:20,cust_2471142,AUTR,business_loan,25144,48,610,medium,approved,25144,online_banking,false,748
app_20250104_00000035,2025-01-04 00:26:36,cust_982055,CZPR,credit_card,36661,24,609,medium,approved,36661,mobile_app,true,229
app_20250104_00000036,2025-01-04 11:17:39,cust_6343764,NLAM,refinance,204787,360,548,medium,approved,204787,web,false,457
app_20250104_00000037,2025-01-04 02:36:09,cust_1465393,DEHE,cash_loan,45448,12,720,low,approved,45448,partner,true,405
app_20250104_00000038,2025-01-04 22:48:19,cust_7934346,UKLO,mortgage,107979,360,549,medium,rejected,0,branch,true,88
app_20250104_00000039,2025-01-04 18:47:03,cust_2364195,AUTR,cash_loan,36503,36,646,medium,approved,36503,partner,false,465
app_20250104_00000040,2025-01-04 20:33:30,cust_6557170,ESMA,mortgage,345373,240,614,medium,approved,345373,branch,false,685
app_20250104_00000041,2025-01-04 03:37:30,cust_9931812,DEHE,refinance,198215,360,440,high,rejected,0,partner,false,164
app_20250104_00000042,2025-01-04 02:29:48,cust_2776957,CHBE,refinance,203205,360,590,medium,approved,203205,branch,true,199
app_20250104_00000043,2025-01-04 02:43:34,cust_7479358,PLWA,personal_loan,5923,24,753,low,approved,5923,online_banking,true,522
app_20250104_00000044,2025-01-04 12:14:15,cust_1053346,FRID,personal_loan,29571,24,635,medium,approved,29571,partner,true,547
app_20250104_00000045,2025-01-04 21:13:13,cust_6972375,BENL,business_loan,15617,36,565,medium,approved,15617,atm,true,192
app_20250104_00000046,2025-01-04 09:45:47,cust_7523365,PORP,auto_loan,34771,48,635,medium,approved,34771,mobile_app,false,460
app_20250104_00000047,2025-01-04 03:27:51,cust_7671225,UKLO,auto_loan,21825,48,700,low,approved,21825,web,true,301
app_20250104_00000048,2025-01-04 11:18:00,cust_2798990,AUTR,cash_loan,26966,12,631,medium,rejected,0,web,true,132
app_20250104_00000049,2025-01-04 09:58:44,cust_4426379,PORP,refinance,437998,240,582,medium,rejected,0,call_center,true,13
app_20250104_00000050,2025-01-04 00:49:39,cust_6234164,SESV,education_loan,11653,48,580,medium,rejected,0,partner,false,88
app_20250104_00000051,2025-01-04 01:54:57,cust_5352475,ATVI,personal_loan,32959,12,635,medium,approved,32959,online_banking,false,389
app_20250104_00000052,2025-01-04 16:15:37,cust_6290965,SESV,personal_loan,12703,12,679,medium,approved,12703,web,true,110
app_20250104_00000053,2025-01-04 12:26:52,cust_2471005,CZPR,auto_loan,50915,24,680,medium,approved,50915,partner,false,527
app_20250104_00000054,2025-01-04 14:39:54,cust_1845106,GRRE,business_loan,26827,60,689,medium,rejected,0,call_center,true,129
app_20250104_00000055,2025-01-04 12:59:00,cust_1261077,SESV,mortgage,357284,240,740,low,approved,357284,online_banking,true,73
app_20250104_00000056,2025-01-04 16:26:05,cust_4898466,NLAM,business_loan,4981,60,531,medium,approved,4981,call_center,true,201
app_20250104_00000057,2025-01-04 08:24:02,cust_8760583,FRID,auto_loan,39155,24,637,medium,approved,39155,mobile,true,105
app_20250104_00000058,2025-01-04 11:44:01,cust_8695083,SESV,credit_card,4953,24,789,low,approved,4953,atm,false,182
app_20250104_00000059,2025-01-04 13:27:59,cust_8163165,CHBE,auto_loan,14647,24,804,low,rejected,0,call_center,true,79
app_20250104_00000060,2025-01-04 06:12:08,cust_3354250,ATVI,mortgage,447366,360,542,medium,rejected,0,web,true,109
app_20250104_00000061,2025-01-04 23:51:04,cust_7075653,GRRE,cash_loan,24534,42,744,low,approved,24534,partner,false,194
app_20250104_00000062,2025-01-04 21:43:30,cust_5553788,NLAM,auto_loan,7462,60,634,medium,approved,7462,call_center,true,436
app_20250104_00000063,2025-01-04 23:24:22,cust_3504455,FRID,auto_loan,49128,48,726,low,approved,49128,branch,true,690
app_20250104_00000064,2025-01-04 08:18:51,cust_9920714,UKLO,personal_loan,21869,30,750,low,approved,21869,mobile,true,279
app_20250104_00000065,2025-01-04 08:30:02,cust_5134243,ATVI,credit_card,7733,24,752,low,approved,7733,branch,true,673
app_20250104_00000066,2025-01-04 18:31:53,cust_8377322,FRID,refinance,471673,180,685,medium,rejected,0,atm,false,12
app_20250104_00000067,2025-01-04 02:05:11,cust_2143392,DEHE,auto_loan,29823,60,784,low,approved,29823,online_banking,true,845
app_20250104_00000068,2025-01-04 21:58:25,cust_3728465,DEHE,auto_loan,19190,36,626,medium,approved,19190,partner,true,590
app_20250104_00000069,2025-01-04 00:20:47,cust_9394126,PORP,business_loan,2873,60,660,medium,approved,2873,web,true,340
app_20250104_00000070,2025-01-04 05:53:28,cust_532772,ITMI,personal_loan,22445,12,792,low,approved,22445,online_banking,false,94
app_20250104_00000071,2025-01-04 15:29:28,cust_9187049,BENL,education_loan,31860,36,723,low,approved,31860,atm,true,248
