application_id,event_time,customer_id,region_code,product_type,requested_amount,term_months,credit_score,risk_level,decision_status,approved_amount,channel,employee_review_flag,processing_time_sec
app_20250129_00000000,2025-01-29 22:25:15,cust_2625084,UKLO,auto_loan,48219,36,638,medium,approved,48219,call_center,true,301
app_20250129_00000001,2025-01-29 00:20:14,cust_9596296,SESV,education_loan,38668,48,679,medium,rejected,0,online_banking,true,49
app_20250129_00000002,2025-01-29 05:00:06,cust_4018814,GRRE,credit_card,19538,12,646,medium,approved,19538,partner,true,885
app_20250129_00000003,2025-01-29 00:46:23,cust_8000430,CZPR,business_loan,15542,24,609,medium,approved,15542,online_banking,false,498
app_20250129_00000004,2025-01-29 06:49:27,cust_7906002,BENL,cash_loan,23669,18,735,low,approved,23669,web,true,338
app_20250129_00000005,2025-01-29 20:34:10,cust_1004825,CHBE,personal_loan,49147,42,624,medium,rejected,0,atm,true,21
app_20250129_00000006,2025-01-29 16:31:01,cust_6508695,CHBE,credit_card,13090,48,699,medium,rejected,0,call_center,true,164
app_20250129_00000007,2025-01-29 12:28:04,cust_2016946,AUTR,business_loan,21461,60,539,medium,rejected,0,branch,false,56
app_20250129_00000008,2025-01-29 02:14:40,cust_5743163,AUTR,refinance,182882,360,713,low,approved,182882,call_center,true,304
app_20250129_00000009,2025-01-29 08:41:22,cust_1300311,UKLO,business_loan,32282,60,714,low,approved,32282,web,true,543
app_20250129_00000010,2025-01-29 03:34:13,cust_1156746,CHBE,mortgage,493182,120,515,medium,approved,493182,partner,false,193
app_20250129_00000011,2025-01-29 14:50:17,cust_4244909,ITMI,cash_loan,20799,36,672,medium,approved,20799,call_center,true,322
app_20250129_00000012,2025-01-29 13:18:59,cust_2585538,NLAM,refinance,308169,240,663,medium,approved,308169,partner,false,476
app_20250129_00000013,2025-01-29 00:10:21,cust_7579203,ATVI,education_loan,37003,12,568,medium,approved,37003,partner,true,762
app_20250129_00000014,2025-01-29 13:29:16,cust_4275648,SESV,cash_loan,49702,42,563,medium,approved,49702,branch,false,97
app_20250129_00000015,2025-01-29 03:58:16,cust_9043651,AUTR,mortgage,408513,240,672,medium,approved,408513,partner,false,864
app_20250129_00000016,2025-01-29 05:24:49,cust_8257107,CHBE,mortgage,261610,300,552,medium,approved,261610,atm,true,578
app_20250129_00000017,2025-01-29 10:44:05,cust_4079376,ITMI,credit_card,34219,48,748,low,approved,34219,partner,true,290
app_20250129_00000018,2025-01-29 10:05:07,cust_331902,SESV,business_loan,29475,24,659,medium,approved,29475,online_banking,true,268
